signal_date,ticker,pattern,close,sma50,sma200,prev_high_close,volume,vol_avg20,entry_price,entry_band_low,entry_band_high,stop_pct,stop_price,pattern_family,score_trend,score_setup,score_volume,score_rsi,score_risk,signal_score,consensus_count
2026-02-24,NTPC.NS,A_breakout_40d,382.75,347.158,338.0753,375.45,20774629,11661905.1,382.75,382.75,390.405,7.0,355.9575,A,63.4,65.6,75.6,70.1,58.0,65.6,1.0
2026-02-25,JSWSTEEL.NS,A_breakout_40d,1275.0,1185.912,1108.4405,1254.5,2095033,1383417.9,1275.0,1275.0,1300.5,7.0,1185.75,A,84.9,63.1,70.3,65.7,58.0,69.7,1.0
2026-02-26,INDUSINDBK.NS,A_breakout_40d,964.6,903.364,828.0153,953.85,8974624,4042071.75,964.6,964.6,983.892,7.0,897.078,A,95.5,59.0,84.4,67.4,58.0,74.3,1.0
2026-03-02,BEL.NS,A_breakout_40d,453.95,423.757,405.5477,453.0,35034174,14598121.8,453.95,453.95,463.029,7.0,422.1735,A,72.5,51.7,88.0,61.6,58.0,66.2,1.0
2026-03-02,ONGC.NS,A_breakout_40d,282.2,255.0018,245.7773,280.1,65843426,20392894.2,282.2,282.2,287.844,7.0,262.446,A,68.8,56.0,100.0,64.2,58.0,68.7,1.0
2026-03-05,BEL.NS,A_breakout_40d,460.0,426.058,406.4437,453.95,38023711,16304147.75,460.0,460.0,469.2,7.0,427.8,A,74.1,60.7,86.6,62.7,58.0,68.9,1.0
2026-03-06,BEL.NS,A_breakout_40d,468.45,427.439,406.967,460.0,28154230,16994583.7,468.45,468.45,477.819,7.0,435.6585,A,75.2,64.7,73.1,66.2,58.0,68.0,1.0
2026-03-06,SUNPHARMA.NS,A_breakout_40d,1799.4,1706.96,1688.9285,1785.7,3669921,2106606.35,1799.4,1799.4,1835.388,7.0,1673.442,A,55.3,56.1,74.8,66.2,58.0,60.3,1.0
2026-03-09,SUNPHARMA.NS,A_breakout_40d,1807.4,1708.368,1689.3065,1799.4,4112775,2248389.3,1807.4,1807.4,1843.548,7.0,1680.882,A,55.6,53.6,76.6,67.4,58.0,60.1,1.0
2026-03-12,COALINDIA.NS,A_breakout_40d,470.1,429.109,397.2463,455.75,27328045,10913539.1,470.1,470.1,479.502,7.0,437.193,A,90.1,75.2,90.1,69.1,58.0,78.5,1.0
2026-03-12,NTPC.NS,A_breakout_40d,390.55,359.74,340.0635,384.9,23847146,11838164.3,390.55,390.55,398.361,7.0,363.2115,A,78.9,61.7,80.3,65.5,58.0,69.5,1.0
2026-03-17,ADANIPOWER.NS,A_breakout_40d,155.6,142.9954,135.9003,155.29,41644726,23519984.7,155.6,155.6,158.712,7.0,144.708,A,76.1,51.6,75.4,66.9,58.0,65.0,1.0
