buy_signal_date,ticker,pattern,entry_price,stop_price,status,entered_date,closed_date,last_updated
2025-01-02,EICHERMOT.NS,A_breakout_40d,5325.0,4952.25,Closed,,2026-03-28,2026-03-28
2025-01-02,ITC.NS,A_breakout_40d,472.0692,439.0243,New,,,2026-03-28
2025-01-02,M&M.NS,A_breakout_40d,3215.0,2989.95,Closed,,2026-03-28,2026-03-28
2025-01-03,EICHERMOT.NS,A_breakout_40d,5310.75,4938.9975,Closed,,2026-03-28,2026-03-28
2025-01-06,APOLLOHOSP.NS,A_breakout_40d,7466.25,6943.6125,Closed,,2026-03-28,2026-03-28
2025-01-10,GOLDBEES.NS,A_breakout_40d,65.71,61.1103,Closed,,2026-03-28,2026-03-28
2025-01-10,HCLTECH.NS,A_breakout_40d,1994.9,1855.257,New,,,2026-03-28
2025-01-13,GOLDBEES.NS,A_breakout_40d,66.28,61.6404,Closed,,2026-03-28,2026-03-28
2025-01-23,WIPRO.NS,A_breakout_40d,319.0,296.67,New,,,2026-03-28
2025-01-28,BAJFINANCE.NS,A_breakout_40d,765.725,712.1242,Closed,,2026-03-28,2026-03-28
2025-01-30,BAJFINANCE.NS,A_breakout_40d,792.5,737.025,Closed,,2026-03-28,2026-03-28
2025-02-03,BAJFINANCE.NS,A_breakout_40d,842.5,783.525,Closed,,2026-03-28,2026-03-28
2025-02-03,EICHERMOT.NS,A_breakout_40d,5536.5498,5148.9913,Closed,,2026-03-28,2026-03-28
2025-02-05,GOLDBEES.NS,A_breakout_40d,71.72,66.6996,Closed,,2026-03-28,2026-03-28
2025-02-05,SILVERBEES.NS,A_breakout_40d,92.64,86.1552,Closed,,2026-03-28,2026-03-28
2025-02-10,GOLDBEES.NS,A_breakout_40d,73.45,68.3085,Closed,,2026-03-28,2026-03-28
2025-02-11,BHARTIARTL.NS,A_breakout_40d,1704.0,1584.72,Closed,,2026-03-28,2026-03-28
2025-02-13,BAJAJFINSV.NS,A_breakout_40d,1853.5,1723.755,Closed,,2026-03-28,2026-03-28
2025-02-13,KOTAKBANK.NS,A_breakout_40d,394.8,367.164,Closed,,2026-03-28,2026-03-28
2025-02-14,SHREECEM.NS,A_breakout_40d,28490.0,26495.7,Closed,,2026-03-28,2026-03-28
2025-02-14,SILVERBEES.NS,A_breakout_40d,93.99,87.4107,Closed,,2026-03-28,2026-03-28
2025-02-27,BAJAJFINSV.NS,A_breakout_40d,1911.05,1777.2765,Closed,,2026-03-28,2026-03-28
2025-03-19,JSWSTEEL.NS,A_breakout_40d,1038.0,965.34,Closed,,2026-03-28,2026-03-28
2025-03-21,BAJFINANCE.NS,A_breakout_40d,909.595,845.9233,Closed,,2026-03-28,2026-03-28
2025-03-21,BHARTIARTL.NS,A_breakout_40d,1740.0,1618.2,Closed,,2026-03-28,2026-03-28
2025-03-21,JSWSTEEL.NS,A_breakout_40d,1063.0,988.59,Closed,,2026-03-28,2026-03-28
2025-03-21,KOTAKBANK.NS,A_breakout_40d,420.0,390.6,Closed,,2026-03-28,2026-03-28
2025-03-21,SHREECEM.NS,A_breakout_40d,29050.0,27016.5,Closed,,2026-03-28,2026-03-28
2025-03-24,KOTAKBANK.NS,A_breakout_40d,435.98,405.4614,New,,,2026-03-28
2025-03-25,BAJAJFINSV.NS,A_breakout_40d,1951.0,1814.43,Closed,,2026-03-28,2026-03-28
2025-03-25,HDFCBANK.NS,A_breakout_40d,912.5,848.625,Closed,,2026-03-28,2026-03-28
2025-03-25,SHREECEM.NS,A_breakout_40d,29555.0996,27486.2426,Closed,,2026-03-28,2026-03-28
2025-03-27,BAJAJFINSV.NS,A_breakout_40d,1995.75,1856.0475,Closed,,2026-03-28,2026-03-28
2025-03-27,HDFCBANK.NS,A_breakout_40d,914.5,850.485,Closed,,2026-03-28,2026-03-28
